phi,psi,theta,"dcm(1,1)","dcm(1,2)","dcm(1,3)","dcm(2,1)","dcm(2,2)","dcm(2,3)","dcm(3,1)","dcm(3,2)","dcm(3,3)"
0.01,0.412,0.957,0.916275954744358,-0.22315450940809559,0.33262657694199277,0.40042274921712945,0.5310518442258408,-0.7467566944150746,-0.009999833334166664,0.8174264515387091,0.5759461777441738
0.1,0.079,0.328,0.9919008692565797,-0.04264956884780049,0.11963979206408817,0.07852359192409847,0.9462740374128459,-0.31368693251350105,-0.09983341664682815,0.32054088724449614,0.9419590376046784
0.02,0.813,0.402,0.6871850120350055,-0.6630697497776338,0.29684215698629357,0.7262071416372454,0.6382128108370548,-0.2555535081319124,-0.01999866669333308,0.39118143490366686,0.9200962657880952
0.98,0.78,0.093,0.3959948694741807,-0.6454110952236801,0.6531711732098227,0.3917424931712786,0.7620818099839723,0.5155280146951311,-0.8304973704919705,0.051728454971343055,0.5546154384365806
0.897,0.219,0.323,0.6090540509025434,0.03610160070577795,0.7923066562295704,0.13555694710631813,0.9795264538731434,-0.14883628675131472,-0.7814585575514654,0.19805201485767648,0.5916907319203147
0.385,0.973,0.245,0.5216228569193244,-0.7506241952864584,0.40555260150796546,0.7660710997973972,0.6213114420614541,0.16464252797719858,-0.37555913674750124,0.22480082164901652,0.8991217522623945
0.155,0.47,0.658,0.8808797492096356,-0.27415926475670466,0.3858595145651233,0.4474568720840325,0.7481803942715207,-0.48990656788053516,-0.1543800992911434,0.6042042661019323,0.7817314051303568
0.953,0.308,0.122,0.5519822161149451,-0.2063657646649213,0.807916334942608,0.17559862194437623,0.9759323900205238,0.12931006952308216,-0.8151568910731664,0.07049213632094456,0.5749348673135414
0.421,0.605,0.212,0.7506818094509718,-0.4853006922712088,0.44828568908732785,0.519098183192663,0.8529964991150082,0.05416685982790889,-0.40867333796749145,0.19204221040861105,0.8922476630711247
